batch	param	setting	dataset	ESS	hr	partition	Leff	L	N	mean.speed	CD_weight	RW_weight	SPP_weight	NER_weight	NER_acc	NE_acc	correctBactrian	ESS.hr
1	prior	cat	Cognato_2001	5329.27043688921	1.645	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3239.6780771363
1	likelihood	cat	Cognato_2001	1685.60940505152	1.645	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1024.68656842038
1	TipRates	cat	Cognato_2001	6930.52734542218	1.645	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	4213.08653217154
1	height	cat	Cognato_2001	3633.95831174845	1.645	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2209.09319863128
1	ucldStdev	cat	Cognato_2001	5268.85928620961	1.645	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3202.9539733797
1	kappa	cat	Cognato_2001	10657.8831548235	1.645	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	6478.95632512069
1	prior	cat_adaptive	Cognato_2001	5384.87270354893	2.16444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2487.87753244047
1	likelihood	cat_adaptive	Cognato_2001	1985.21625835415	2.16444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	917.194369876147
1	TipRates	cat_adaptive	Cognato_2001	7499.12046381558	2.16444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3464.68604591069
1	height	cat_adaptive	Cognato_2001	3275.90374499664	2.16444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1513.50789039886
1	ucldStdev	cat_adaptive	Cognato_2001	5907.25708650035	2.16444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2729.22555331125
1	kappa	cat_adaptive	Cognato_2001	9353.63499960463	2.16444444444444	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	4321.4946096736
1	prior	real_06	Cognato_2001	339.43609351767	1.18361111111111	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	286.780083704204
1	likelihood	real_06	Cognato_2001	972.697013881616	1.18361111111111	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	821.80456465004
1	TipRates	real_06	Cognato_2001	6711.29504112507	1.18361111111111	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	5670.18590660649
1	height	real_06	Cognato_2001	2521.05240340156	1.18361111111111	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2129.96682756292
1	ucldStdev	real_06	Cognato_2001	1244.22496187701	1.18361111111111	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1051.21095112819
1	kappa	real_06	Cognato_2001	10138.8580114582	1.18361111111111	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	8566.03821667438
1	prior	real	Cognato_2001	5830.1468234423	1.89222222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	3081.11106347508
1	likelihood	real	Cognato_2001	1607.77211197871	1.89222222222222	3	0.8	1.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	849.674046260034
